id,name,description,prep_time_minutes,cook_time_minutes,servings,cooking_method,role,is_scalable_to_main,is_complete_meal,needs_side_dish
9645,Shakshuka du matin,Œufs pochés dans une sauce tomate épicée,15,20,4,poêle,PETIT_DEJEUNER,f,t,f
9646,Croque-monsieur,Sandwich gratiné jambon-fromage,10,10,2,four,PETIT_DEJEUNER,f,f,f
9647,Gaufres salées,Gaufres au fromage et bacon,15,20,4,gaufrier,PETIT_DEJEUNER,f,f,f
9648,Eggs Benedict,"Muffin anglais, bacon, œuf poché et hollandaise",20,15,4,poêle,PETIT_DEJEUNER,f,t,f
9649,Tortilla espagnole,Omelette épaisse aux pommes de terre,20,25,6,poêle,PETIT_DEJEUNER,f,t,f
9650,Muffins bacon-cheddar,Muffins salés au bacon et fromage,15,25,12,four,PETIT_DEJEUNER,f,f,f
9651,Pancakes moelleux,Pancakes épais au sirop d'érable,15,15,4,poêle,PETIT_DEJEUNER,f,f,f
9652,Gaufres de Liège,Gaufres briochées au sucre perlé,25,20,8,gaufrier,PETIT_DEJEUNER,f,f,f
9653,French toast,Pain perdu à la cannelle,10,15,4,poêle,PETIT_DEJEUNER,f,f,f
9654,Granola maison,"Flocons d'avoine, miel et fruits secs torréfiés",15,30,10,four,PETIT_DEJEUNER,f,f,f
9655,Overnight oats,Flocons d'avoine trempés aux fruits,10,0,2,cru,PETIT_DEJEUNER,f,f,f
9656,Smoothie bowl,Bol de fruits mixés garni de toppings,15,0,2,cru,PETIT_DEJEUNER,f,f,f
9657,Muffins aux myrtilles,Muffins moelleux aux myrtilles fraîches,15,25,12,four,PETIT_DEJEUNER,f,f,f
9658,Porridge,"Flocons d'avoine cuits au lait, miel et fruits",5,10,2,casserole,PETIT_DEJEUNER,f,f,f
9659,Banana bread,Gâteau moelleux aux bananes écrasées,15,55,8,four,PETIT_DEJEUNER,f,f,f
9660,Açaí bowl,Bol glacé à l'açaí et fruits frais,15,0,2,cru,PETIT_DEJEUNER,f,f,f
